roll,legal,address,land_area,land_area_unit,subdivision,zoning,linc_number,market_land_site_area,market_land_site_area_unit,year_of_assessment,assessment_value,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
1556004,7722340 1 4,,19.96,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,930,,,,,,,,,
1556005,8021643 A SW-18-58-23-4,58213 RGE RD 240,20.00,Acres,Sturgeon County,AGRICULTURE,,3.00,Acres,2014,"197,590",,Range Road 240,,Alberta,Division No. 11,Canada,,53.77458050000001,-113.4212854
1557000,NW-18-58-23-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"14,010",,,,,,,,,
1558000,NE-18-58-23-4,,152.64,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"15,100",,,,,,,,,
1559000,NE-18-58-23-4,58218 LILY LAKE RD,6.06,Acres,Sturgeon County,AGRICULTURE,0023286959,6.06,Acres,2014,"265,260",,Lily Lake Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.001974,-113.397083
1644000,0625902 1 5,,28.91,Acres,Sturgeon County,INTERMUNICIPAL FRINGE-A,,0.00,Acres,2014,"155,280",,,,,,,,,
1644001,9420194 1 NW-7-54-24-4,54131 RGE RD 250,20.71,Acres,Sturgeon County,INTERMUNICIPAL FRINGE-A,,3.00,Acres,2014,"719,470",54131,Range Road 250,,Alberta,Division No. 11,Canada,T8T 0P9,53.7275708,-113.5705711
1644002,9826112 2,,75.07,Acres,Sturgeon County,INTERMUNICIPAL FRINGE-A,,0.00,Acres,2014,"15,440",,,,,,,,,
1644003,9826112 4 NW-7-54-24-4,24517 TWP RD 542,5.19,Acres,Sturgeon County,INTERMUNICIPAL FRINGE-A,0027748409,5.19,Acres,2014,"1,315,730",24517,Township Road 542,,Alberta,Division No. 11,Canada,,53.6580193,-113.5406568
1645000,NW-7-54-24-4,54125 RGE RD 250,30.08,Acres,Sturgeon County,INTERMUNICIPAL FRINGE-A,0031944499,3.00,Acres,2014,"432,850",54125,Range Road 250,,Alberta,Division No. 11,Canada,T8T 0P9,53.7275708,-113.5705711
